SMILES,logP,tPSA,MW,SweetSpot
c1ccn2c(c1)c(cn2)CN3CCN(CC3)c4ccc(cc4)Cl,3.31,23.78,326.1,No
Cc1c2c(c(s1)C)-c3c(cnn3C)CCC2,3.25,17.82,232.1,No
Cc1ccc(cc1)CN2CCN(CC2)CC(=O)N3c4ccccc4C[C@H]3C,3.09,26.79,363.2,No
CN1CCN(CC1)C2=Cc3ccccc3Oc4c2cccc4,3.54,15.71,292.2,No
Cc1ccc(cc1F)CN2CCN(CC2)CC(=O)N3c4ccccc4C[C@H]3C,3.23,26.79,381.2,No
Cc1ccc(cc1)CN2CCC(CC2)CC(=O)N3c4ccccc4CC3C,4.57,23.55,362.2,No
CC1Cc2ccccc2N1C(=O)CC3CCN(CC3)Cc4ccc(cc4)[N+](=O)[O-],4.17,66.69,393.2,No
c1ccc(cc1)CN2CCC(C2)NC(=O)c3ccc(cc3)c4ccsc4,4.42,32.34,362.1,No
c1ccc(cc1)CN2CC[C@@H](C2)NC(=O)c3ccc(cc3)c4ccsc4,4.42,32.34,362.1,No
c1ccc(cc1)CN2CC[C@@H](C2)NC(=O)c3cccc(c3)c4ccsc4,4.42,32.34,362.1,No
c1cc(ccc1N2CCN(CC2)Cc3cn4c(n3)ccc(n4)Cl)Cl,3.36,36.67,361.1,No
COc1ccccc1N2CCN(CC2)CCCCNC(=O)c3cc4ccccn4n3,2.68,62.11,407.2,No
CCOc1ccccc1N2CCN(CC2)Cc3cccc4c3cccc4,4.56,15.71,346.2,No
CCCN(CCNC(=O)N=Nc1ccc(c(c1)F)F)C2Cc3ccccc3C2,4.64,57.06,386.2,No
c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CCN(CC4)CCO,4.31,29.95,437.2,No
Cc1c(nc(n1C2CCN(CC2)Cc3ccccc3Cl)O)c4ccccc4,5.05,41.29,381.2,No
COc1cc(c(cc1C(=O)N[C@H]2CCN(C2)C3CCCCC3)Cl)NC(=O)C4CC4,3.83,70.67,419.2,No
COc1cc(c(cc1C(=O)N[C@H]2CCN(C2)Cc3ccccc3)Cl)NC(=O)C4CC4,3.7,70.67,427.2,No
COc1cc(c(cc1C(=O)NC2CCN(C2)Cc3ccccc3)Cl)NC(=O)C4CC4,3.7,70.67,427.2,No
c1cc(ccc1N2CCN(CC2)Cc3cc4cc(ccc4[nH]3)C#N)Cl,4.02,46.06,350.1,No
COc1ccc(cc1)CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(cc5)F,5.35,42.32,458.2,No
COc1cccc(c1)C(=O)NCCN2CCN(CC2)c3ccccc3,2.25,44.81,339.2,Yes
